c,avg_power,max_abs_x,status
0.01,56.79839686735278,28.832134801908257,UNSAFE
0.011689518164985783,63.672482640845956,28.15112004887103,UNSAFE
0.013664483492953258,70.90590226660576,27.38258016203778,UNSAFE
0.01597312280060254,78.36241397329725,26.52035829062448,UNSAFE
0.018671810912919196,85.85395249907027,25.55958592334304,UNSAFE
0.021826447283974874,93.13781445591229,24.497163821119948,UNSAFE
0.025514065200312887,99.9187358398685,23.33212035044562,UNSAFE
0.02982471286216891,105.85919285439725,22.067588495054157,UNSAFE
0.03486365227678084,110.59919430125052,20.711575103783076,UNSAFE
0.040753929658717776,113.78677960167356,19.275270922917628,UNSAFE
0.047639380104013404,115.11928677459915,17.77693268245748,UNSAFE
0.0556881399094527,114.38709005265989,16.238499317403022,UNSAFE
0.0650967523045817,111.51881386361528,14.688454915721001,UNSAFE
0.07609496685459875,106.61166243773165,13.153319806190165,UNSAFE
0.08895134973108236,99.93261268613202,11.66690472486623,UNSAFE
0.103979841848149,91.89972494681139,10.254369457547957,UNSAFE
0.12154742500762866,83.02454162523158,8.939781319864862,UNSAFE
0.14208308325339222,73.83852904367963,7.74229455299559,UNSAFE
0.1660882782627716,64.82010955079005,6.673109033855925,UNSAFE
0.19414919457438806,56.33759041682578,5.73361669913561,UNSAFE
0.22695105366946683,48.62338271811418,4.91518512719975,UNSAFE
0.26529484644318957,41.78058825355308,4.207530830953105,UNSAFE
0.3101168926574778,35.81248965257537,3.601165762621924,UNSAFE
0.3625117049988533,30.660700042345873,3.0812225582305945,UNSAFE
0.4237587160604063,26.237023534825024,2.6360739213592295,UNSAFE
0.495353520895917,22.447900999870352,2.25519068284235,UNSAFE
0.5790443980602487,19.204911664659598,1.9293401490466928,UNSAFE
0.6768750009458534,16.43025364631353,1.6505387236669609,UNSAFE
0.7912342618981323,14.056401559266668,1.412032806790285,UNSAFE
0.9249147277217336,12.025692489913483,1.2079676482049417,UNSAFE
1.0811807510766078,10.288008243031786,1.0333420127060355,UNSAFE
1.2638482029342986,8.80177504007211,0.8840460334939271,UNSAFE
1.4773776525985112,7.531918519818896,0.7562764680000147,UNSAFE
1.7269832906594342,6.443877672602773,0.6470361494211228,UNSAFE
2.018760254679039,5.512809940086672,0.5535084901782885,UNSAFE
2.359833466782194,4.716194949435791,0.4735468583094513,SAFE
2.7585316176291843,4.035037603055222,0.4051131414983745,SAFE
3.2245905452963948,3.452513694636223,0.34658071904094795,SAFE
3.7693909753883594,2.9539827835299945,0.2966269499384177,SAFE
4.406236427773573,2.527365315210985,0.25400644078706164,SAFE
5.150678076168122,2.162541547246144,0.2184134810985646,SAFE
6.020894493336131,1.8507309090962152,0.18827076449143798,SAFE
7.0381355549315545,1.5845287957395282,0.17150889683611642,SAFE
8.227241341700465,1.3556284842081818,0.15648669945802765,SAFE
9.617248711152964,1.1595820374272428,0.14199797562255023,SAFE
11.242100350620863,0.9918216103744997,0.12820254519961868,SAFE
13.141473626117568,0.8483857812224551,0.11518790887262499,SAFE
15.36174946671828,0.7256678093364386,0.10301767099443072,SAFE
17.957144943716408,0.6207634055623106,0.091747757923988,SAFE
20.991037201085547,0.5310093586671524,0.08139108257469164,SAFE
24.537511066398167,0.4542459933709839,0.07194873883925718,SAFE
28.683168133420118,0.388578544796409,0.06338057497335338,SAFE
33.529241492495565,0.33241198335577404,0.0556527696597903,SAFE
39.194067748472214,0.28436311515582635,0.04872262801625821,SAFE
45.81597669054491,0.24326087428867357,0.04254475695022057,SAFE
53.55666917706897,0.20810147945218252,0.03706245015595152,SAFE
62.605165720148214,0.17802314139961922,0.03221420624298658,SAFE
73.18242219076174,0.15229288829019497,0.027944279959186028,SAFE
85.54672535565685,0.1302813896633656,0.02419702563486131,SAFE
100.0,0.11145111572491016,0.02091916473212345,SAFE
